company,role,skills,cgpa_required
EchoSphere,UI/UX Designer,"UI/UX Design, Git, Agile, JIRA, Sketch, Wireframing, Scrum, Figma",8.9
InfraCloud,Mobile App Developer,"Flutter, iOS SDK, API Development, Swift, Kotlin",7.8
Infinite Loop,DevOps Engineer,"Scrum, Azure, Jenkins, AWS, Git, Terraform",8.6
Synapse Corp,Data Scientist,"Deep Learning, Agile, Statistics, API Development, R",7.2
SynthCore,Backend Developer,"Ruby, Scrum, REST APIs, GraphQL, Git, C#",8.5
AquaGen,Security Analyst,"Network Security, Scrum, Penetration Testing, Ethical Hacking, Git, SIEM, Cryptography, JIRA",7.9
BlueShift,Cloud Architect,"Security, Agile, API Development, Google Cloud Platform",8.6
AeroVerse,Full-Stack Developer,"JavaScript, Python, HTML, Scrum, GraphQL",7.8
FutureProof,Mobile App Developer,"Git, JIRA, Swift, iOS SDK, Scrum",7.3
PixelPerfect,Mobile App Developer,"API Development, Git, iOS SDK, Swift, Objective-C, Scrum",7.5
Orion Enterprises,Full-Stack Developer,"Scrum, Git, SQL, Node.js, HTML",9
TerraForm Inc.,Data Scientist,"API Development, Statistics, Git, Pandas, Scikit-learn, Python, SQL, Scrum",7.4
CodeCrafters,Machine Learning Engineer,"Scikit-learn, Git, NumPy, TensorFlow, Agile, JIRA",7.5
WebWeavers,Full-Stack Developer,"REST APIs, Scrum, Agile, Python, API Development",7.1
LogicLoop,Data Analyst,"Excel, Data Visualization, Scrum, SQL, Tableau, Agile, Statistics",8.6
EchoSphere,Frontend Developer,"Angular, Redux, Agile, Next.js, HTML, TypeScript, React, Git",7.9
Quantum Solutions,Data Scientist,"NumPy, Scrum, Deep Learning, Git, Python",7.7
HelioDynamics,UI/UX Designer,"API Development, Adobe XD, UI/UX Design, Figma, Wireframing, JIRA",7.5
Cognitive AI,UI/UX Designer,"Figma, UI/UX Design, Wireframing, Agile, Sketch, Adobe XD, Git",7.1
SkyBridge,UI/UX Designer,"JIRA, Scrum, Wireframing, Adobe XD",8.2
Zenith Tech,UI/UX Designer,"Agile, Figma, Git, UI/UX Design, Sketch, Scrum",7.8
NextGen AI,UI/UX Designer,"User Research, Wireframing, UI/UX Design, JIRA, API Development, Figma",8.3
CyberGuard,Data Scientist,"TensorFlow, Git, PyTorch, JIRA, Data Visualization, Deep Learning, SQL, Pandas",7.1
SkyBridge,Full-Stack Developer,"Python, MongoDB, React, REST APIs",7.9
DataSphere,Data Analyst,"Agile, Python, Data Visualization, Power BI, Statistics, Tableau",8.9
Vertex Dynamics,UI/UX Designer,"API Development, Scrum, Git, User Research, Sketch, Figma, UI/UX Design",7.4
Polaris Tech,Mobile App Developer,"Swift, Kotlin, Agile, Flutter",7.3
Predictive Analytics,Cloud Architect,"Kubernetes, AWS, Agile, Security, JIRA, Git",8.3
EchoSphere,Full-Stack Developer,"JIRA, JavaScript, SQL, MongoDB",7.7
AeroVerse,Mobile App Developer,"Kotlin, Git, Objective-C, Swift, iOS SDK, Agile, Scrum",8.7
Apex Innovations,Machine Learning Engineer,"TensorFlow, PyTorch, Computer Vision, Agile, JIRA, Scrum",7.1
CyberGuard,Data Analyst,"Power BI, Statistics, Scrum, Data Visualization, JIRA",7.6
CyberGuard,Machine Learning Engineer,"NLP, JIRA, PyTorch, API Development, Keras",7.7
NanoWare,Mobile App Developer,"Scrum, Agile, Git, Flutter, API Development, React Native, iOS SDK, Android SDK",7.5
AeroVerse,Backend Developer,"PostgreSQL, Go, Agile, Scrum",8.6
CloudNine,Software Engineer,"Python, Algorithms, Git, Scrum, C++, Java, Agile",8.3
FusionWorks,Backend Developer,"PostgreSQL, SQL, API Development, MongoDB, Node.js, Kubernetes, Python, Scrum",8.7
Orion Enterprises,UI/UX Designer,"User Research, Git, Scrum, Sketch",8.8
Keystone Digital,Backend Developer,"NoSQL, REST APIs, Ruby, Kubernetes, Node.js, MongoDB, Git, Agile",7.5
LogicLoop,Frontend Developer,"Agile, Next.js, SASS, Git, CSS, API Development",9
Predictive Analytics,Data Analyst,"Pandas, SQL, Git, Scrum, API Development, Statistics",8.9
Predictive Analytics,Backend Developer,"Kubernetes, REST APIs, Docker, Agile, SQL, Ruby, Scrum",7.2
Synergy Systems,Security Analyst,"Git, Ethical Hacking, Penetration Testing, Network Security, API Development",8.5
Momentum Labs,Backend Developer,"PostgreSQL, Python, MongoDB, Node.js",7
WebWeavers,Backend Developer,"C#, Scrum, GraphQL, API Development, REST APIs, SQL, Git, Agile",8
AquaGen,Backend Developer,"Ruby, JIRA, Java, PostgreSQL, NoSQL, REST APIs, GraphQL",7.1
ByteForce,DevOps Engineer,"Scrum, Prometheus, Docker, Jenkins, Google Cloud Platform, AWS, Kubernetes",8.3
Orion Enterprises,Machine Learning Engineer,"API Development, NLP, TensorFlow, Agile, Scikit-learn",7.6
NeuralNet Systems,DevOps Engineer,"API Development, Docker, Azure, Agile, Prometheus, Scrum",7.6
Insight Data,Machine Learning Engineer,"JIRA, Pandas, Scrum, API Development, TensorFlow",8.8
BlueShift,Mobile App Developer,"Git, JIRA, Objective-C, Scrum",8.3
Infinite Loop,Mobile App Developer,"Swift, Android SDK, JIRA, Agile",7.8
SkyBridge,Cloud Architect,"Google Cloud Platform, Scrum, System Design, JIRA",7.7
NovaPulse,Cloud Architect,"System Design, Terraform, AWS, Networking, JIRA, Azure, Google Cloud Platform, Agile",7.4
InfraCloud,Cloud Architect,"Security, Scrum, Git, Networking, API Development, JIRA, System Design, Terraform",7.5
CyberGuard,Machine Learning Engineer,"Scrum, Agile, Keras, TensorFlow",8.4
CyberGuard,DevOps Engineer,"Kubernetes, Terraform, Docker, Prometheus",8.1
SynthCore,Frontend Developer,"Redux, TypeScript, Vue.js, JavaScript, Angular, API Development, Agile, Webpack",7.7
Orion Enterprises,Frontend Developer,"Agile, SASS, HTML, JIRA, Scrum, TypeScript, API Development, JavaScript",7.2
QuantumLeap,UI/UX Designer,"Wireframing, User Research, Figma, Git, API Development, Agile",7.3
AquaGen,Software Engineer,"Scrum, JIRA, Kubernetes, Go, System Design, Java, Data Structures, API Development",7.2
EchoSphere,Security Analyst,"SIEM, API Development, Git, JIRA, Ethical Hacking",8.8
Insight Data,Security Analyst,"Scrum, API Development, SIEM, Penetration Testing, JIRA, Agile",8.6
Keystone Digital,Security Analyst,"SIEM, JIRA, Ethical Hacking, Network Security, Cryptography, Git, Scrum",7.7
Zenith Tech,Backend Developer,"Agile, NoSQL, C#, Node.js, Git, REST APIs, API Development, Java",7.8
NanoWare,Full-Stack Developer,"Node.js, SQL, React, Scrum, HTML, Agile, REST APIs, JavaScript",7.6
DigitalFrontier,Software Engineer,"Git, Kubernetes, Python, Go, Data Structures, Java",7.4
Quantum Solutions,DevOps Engineer,"CI/CD, Docker, Git, Prometheus",8.9
DigitalFrontier,Data Analyst,"Tableau, JIRA, SQL, Agile, Excel, Scrum",8.4
Synapse Corp,Software Engineer,"C++, Java, Data Structures, Go",8.7
Apex Innovations,Data Scientist,"Data Visualization, Statistics, R, API Development, PyTorch, Deep Learning, Agile, SQL",8.8
Apex Innovations,Mobile App Developer,"API Development, Android SDK, React Native, Objective-C",8.8
Infinite Loop,Mobile App Developer,"Kotlin, API Development, Scrum, React Native, Flutter, Agile, JIRA, Objective-C",7.8
BinaryBridge,Backend Developer,"REST APIs, Node.js, Scrum, C#, JIRA, SQL, MongoDB, GraphQL",7.8
Momentum Labs,Full-Stack Developer,"SQL, Agile, CSS, GraphQL, Node.js, JavaScript, JIRA, MongoDB",8
SkyBridge,Full-Stack Developer,"React, Scrum, JavaScript, Python, HTML, Agile",7.1
PixelPerfect,Data Analyst,"JIRA, Power BI, Statistics, Agile",8.4
HelioDynamics,Backend Developer,"Scrum, SQL, MongoDB, PostgreSQL, REST APIs",7.1
Insight Data,Security Analyst,"JIRA, Cybersecurity, Ethical Hacking, SIEM, Penetration Testing, Network Security, Scrum",8.8
Zenith Tech,Mobile App Developer,"Agile, iOS SDK, Git, Flutter, Objective-C, Kotlin, React Native, API Development",7.7
NetSphere,Data Scientist,"Data Visualization, Scikit-learn, TensorFlow, Machine Learning, JIRA, R",7.5
Insight Data,Full-Stack Developer,"Node.js, React, JIRA, Git",8.3
CloudNine,Data Scientist,"PyTorch, API Development, Scrum, Git, R, JIRA, Statistics, Data Visualization",8.6
SynthCore,Frontend Developer,"JIRA, React, Redux, Agile, API Development",8.2
CodeCrafters,Security Analyst,"Scrum, JIRA, Agile, Git, Cryptography, API Development, Penetration Testing, SIEM",7.3
QuantumLeap,Software Engineer,"Algorithms, Java, Python, Go, JIRA",7.5
AquaGen,Security Analyst,"API Development, Cybersecurity, Git, Ethical Hacking",8.5
Cognitive AI,UI/UX Designer,"User Research, Git, Figma, Adobe XD, UI/UX Design, Wireframing, Scrum",7.3
Apex Innovations,Machine Learning Engineer,"API Development, NumPy, Keras, Git, Pandas, TensorFlow, PyTorch",7.5
WebWeavers,Mobile App Developer,"Swift, JIRA, Android SDK, React Native, Scrum, iOS SDK, Agile",7.3
CodeCrafters,Full-Stack Developer,"GraphQL, CSS, Agile, API Development, Git, Node.js",8
CloudNine,Machine Learning Engineer,"Keras, Python, Scrum, API Development, TensorFlow, Pandas, NumPy, Agile",8.1
HelioDynamics,Machine Learning Engineer,"Python, NumPy, Keras, NLP, Git",7
Apex Innovations,Security Analyst,"Cryptography, JIRA, Ethical Hacking, SIEM, Agile, Cybersecurity, API Development, Scrum",8.5
NetSphere,Data Scientist,"Scikit-learn, PyTorch, Statistics, Agile, JIRA, SQL, Machine Learning",8.4
LogicLoop,UI/UX Designer,"UI/UX Design, Adobe XD, User Research, Wireframing, Sketch",8.4
Synergy Systems,Mobile App Developer,"Kotlin, Agile, iOS SDK, React Native, Objective-C, API Development, Scrum, JIRA",7.8
EchoSphere,Mobile App Developer,"Scrum, Objective-C, JIRA, iOS SDK",7.7
AquaGen,Mobile App Developer,"Scrum, Swift, Git, API Development",7.2
NetSphere,Data Scientist,"Scikit-learn, Pandas, Python, R",7.8
Orion Enterprises,Software Engineer,"System Design, Java, Data Structures, Python",8.4
DigitalFrontier,Data Scientist,"PyTorch, Scikit-learn, Scrum, Python, Machine Learning, SQL, Statistics, API Development",8.2
CodeCrafters,Backend Developer,"API Development, Node.js, JIRA, Scrum",8.4
Predictive Analytics,UI/UX Designer,"API Development, Git, Adobe XD, Sketch",7.4
DigitalFrontier,Mobile App Developer,"Swift, JIRA, React Native, API Development, Objective-C, iOS SDK",7.9
TerraForm Inc.,Machine Learning Engineer,"Python, Scikit-learn, Git, Computer Vision, Pandas",7.9
EchoSphere,Machine Learning Engineer,"Scrum, TensorFlow, JIRA, Python, PyTorch, Computer Vision",7.5
WebWeavers,Backend Developer,"Go, REST APIs, Scrum, JIRA, NoSQL, API Development, Git, Node.js",7.1
Stellar Solutions,Machine Learning Engineer,"NumPy, Scrum, TensorFlow, NLP, Agile, Scikit-learn, API Development, PyTorch",7.5
NovaPulse,DevOps Engineer,"Scrum, Agile, Jenkins, CI/CD, Docker",8
CyberGuard,Data Analyst,"Data Visualization, Scrum, JIRA, Python",8
AquaGen,Full-Stack Developer,"JIRA, API Development, Scrum, React",8.7
AeroVerse,Cloud Architect,"System Design, Security, AWS, Azure, Scrum, Git",7.8
Orion Enterprises,Machine Learning Engineer,"Scrum, Scikit-learn, Agile, Python, NumPy",8.3
Zenith Tech,UI/UX Designer,"UI/UX Design, User Research, Adobe XD, Sketch, Figma, JIRA, Wireframing",8.2
QuantumLeap,Backend Developer,"JIRA, Node.js, Python, Docker, C#",8.9
Visionary AI,Software Engineer,"Data Structures, System Design, Agile, Java, Docker, C++, Go, Git",8
Infinite Loop,DevOps Engineer,"AWS, CI/CD, Docker, Prometheus",7.1
NeuralNet Systems,Mobile App Developer,"React Native, Kotlin, Git, API Development",7.3
Visionary AI,Mobile App Developer,"Flutter, API Development, iOS SDK, Git, Kotlin, Objective-C",8
FusionWorks,Full-Stack Developer,"Git, Scrum, API Development, Python, GraphQL, REST APIs, JavaScript",7.9
RedShift,Frontend Developer,"HTML, Redux, JavaScript, JIRA",7.5
P pinnacle Corp,Security Analyst,"Cybersecurity, API Development, Git, Cryptography, Network Security, Ethical Hacking, Agile",7.6
WebWeavers,Backend Developer,"Python, Java, Scrum, Ruby, Docker, SQL, Kubernetes, Go",7.1
CyberGuard,Data Analyst,"Power BI, Git, Scrum, API Development, Pandas, Tableau, Excel, Data Visualization",7.7
Synergy Systems,Cloud Architect,"Agile, Security, Google Cloud Platform, AWS, JIRA, API Development",7.3
NetSphere,Security Analyst,"Cryptography, JIRA, Agile, Penetration Testing, Scrum",7.7
Visionary AI,Cloud Architect,"Google Cloud Platform, Security, AWS, Git",8.4
BinaryBridge,Software Engineer,"JIRA, Python, Go, C++, Kubernetes, Data Structures, Docker, Scrum",8.6
Zenith Tech,Cloud Architect,"JIRA, API Development, Agile, Google Cloud Platform, Terraform, Networking, Azure, AWS",8.7
NovaPulse,Frontend Developer,"API Development, JavaScript, Webpack, TypeScript, Scrum, Agile, Vue.js",7.2
NanoWare,Machine Learning Engineer,"API Development, Computer Vision, PyTorch, TensorFlow, NLP, Python",7.9
RedShift,Software Engineer,"Algorithms, JIRA, Python, Docker",7.8
NovaPulse,Security Analyst,"JIRA, Cryptography, Scrum, Penetration Testing, Ethical Hacking, Agile",7.3
TerraForm Inc.,Cloud Architect,"API Development, Agile, Security, Kubernetes, AWS, JIRA, Google Cloud Platform, System Design",7.6
Quantum Solutions,Data Scientist,"Python, R, Scikit-learn, SQL, Git, Machine Learning, Pandas",7.1
Predictive Analytics,Data Scientist,"Pandas, Deep Learning, JIRA, SQL, PyTorch, R",8.9
Stellar Solutions,Machine Learning Engineer,"JIRA, Python, Scrum, NLP, Keras, Git",7.9
Orion Enterprises,Machine Learning Engineer,"Computer Vision, JIRA, Scrum, API Development, Git, Scikit-learn, NumPy",7
DigitalFrontier,Data Scientist,"Scrum, Scikit-learn, Agile, PyTorch, API Development, Python, R",7.4
NetSphere,Software Engineer,"Java, Agile, Data Structures, Go, Scrum, Kubernetes, Algorithms, JIRA",8.1
Stellar Solutions,Software Engineer,"C++, Git, Scrum, Agile, Python",7.6
FusionWorks,Full-Stack Developer,"Node.js, Agile, HTML, MongoDB",8.5
BlueShift,Full-Stack Developer,"Node.js, JavaScript, SQL, HTML, REST APIs, React, CSS, Git",8.6
BioSynth,Machine Learning Engineer,"Keras, Scikit-learn, Git, Python, NumPy, NLP, PyTorch",8.5
BioSynth,Security Analyst,"Scrum, Cryptography, SIEM, JIRA, Ethical Hacking, Network Security",8.8
RedShift,Data Analyst,"Data Visualization, API Development, Statistics, Pandas",8.4
EchoSphere,Frontend Developer,"HTML, API Development, Next.js, JavaScript, Scrum, Redux",8.5
NovaPulse,Cloud Architect,"Security, Kubernetes, System Design, API Development, Google Cloud Platform, Networking, Azure",8.3
DigitalFrontier,DevOps Engineer,"CI/CD, Git, Docker, Azure, Prometheus, Jenkins, Kubernetes",7.5
Visionary AI,Security Analyst,"Agile, Scrum, Cybersecurity, Cryptography",8.7
Insight Data,Frontend Developer,"React, TypeScript, HTML, Scrum, Next.js, JavaScript, Vue.js",8.1
Polaris Tech,Data Scientist,"Git, Scikit-learn, NumPy, Pandas, Deep Learning, TensorFlow, API Development, Data Visualization",8.9
AquaGen,Security Analyst,"JIRA, Git, Penetration Testing, API Development, Scrum, Network Security, Ethical Hacking, SIEM",7.2
InnovateTech,Data Scientist,"NumPy, JIRA, Git, Statistics",8.9
BlueShift,Security Analyst,"Git, Penetration Testing, JIRA, Ethical Hacking, Cryptography, Scrum, Network Security, SIEM",8.2
Alpha Systems,Data Scientist,"Agile, Pandas, Deep Learning, Python, TensorFlow",7.7
Cognitive AI,Mobile App Developer,"API Development, Flutter, Objective-C, Swift, Agile, Scrum",7.1
Alpha Systems,Security Analyst,"Ethical Hacking, Cryptography, JIRA, Penetration Testing, Network Security, Git, Agile",7.1
EchoSphere,Mobile App Developer,"Kotlin, Agile, iOS SDK, Scrum, Android SDK, Objective-C",7.5
NanoWare,Software Engineer,"API Development, Scrum, System Design, Java, Go, Algorithms",7
AeroVerse,Cloud Architect,"Kubernetes, JIRA, Terraform, AWS, Networking",8.8
Momentum Labs,Software Engineer,"Agile, Algorithms, Go, Java, Data Structures, Python",7.4
DataSphere,Machine Learning Engineer,"Agile, Keras, Pandas, PyTorch, NumPy, TensorFlow, API Development",7.4
Stellar Solutions,Security Analyst,"Agile, Git, Cybersecurity, Cryptography",8.9
Cognitive AI,UI/UX Designer,"Adobe XD, UI/UX Design, User Research, JIRA, Figma, Wireframing, Sketch, API Development",8.3
Vertex Dynamics,Mobile App Developer,"iOS SDK, Agile, Scrum, React Native, Flutter, Objective-C, Git",8.5
RedShift,Software Engineer,"Agile, JIRA, Go, C++, Data Structures",7.8
NovaPulse,Frontend Developer,"Vue.js, Redux, CSS, API Development, JIRA",8.8
BioSynth,Backend Developer,"MongoDB, Docker, Go, GraphQL, Python, C#",7.3
LogicLoop,Cloud Architect,"Terraform, Git, Scrum, AWS",7.5
Cognitive AI,Cloud Architect,"Terraform, System Design, Google Cloud Platform, Git, Networking, API Development, Security",8.7
QuantumLeap,Software Engineer,"Docker, Agile, Go, Git, API Development, C++, Algorithms, Python",7.3
Synapse Corp,UI/UX Designer,"Git, Agile, Wireframing, User Research",8.9
DataSphere,Software Engineer,"API Development, Kubernetes, JIRA, System Design",7.9
Synergy Systems,Cloud Architect,"Scrum, Agile, API Development, Networking, Google Cloud Platform, Kubernetes, Security",7.9
Synergy Systems,Software Engineer,"Kubernetes, API Development, Git, Docker, Java, Agile, Python, Scrum",8.3
NovaPulse,DevOps Engineer,"Ansible, AWS, API Development, Docker, Jenkins, Scrum, Google Cloud Platform",8.7
BioLogics,Data Scientist,"Data Visualization, Scikit-learn, PyTorch, Statistics, SQL, JIRA, Deep Learning, R",7.1
AquaGen,Data Analyst,"SQL, Tableau, Excel, Pandas, Python",8.3
QuantumLeap,Cloud Architect,"Terraform, Google Cloud Platform, API Development, Git, Networking",7.6
Momentum Labs,DevOps Engineer,"Scrum, Prometheus, CI/CD, Kubernetes, Ansible, API Development, JIRA, Git",7.9
EchoSphere,Backend Developer,"Docker, Java, C#, REST APIs, GraphQL, Go, NoSQL",7.6
Cognitive AI,Software Engineer,"Docker, Go, Scrum, Python, Java, Git",8.4
NeuralNet Systems,Data Analyst,"Power BI, SQL, Data Visualization, Git, Scrum, Pandas, JIRA, Tableau",8.4
RedShift,Mobile App Developer,"Agile, React Native, API Development, Flutter, Android SDK, Swift, Objective-C, JIRA",7.7
DigitalFrontier,Backend Developer,"SQL, GraphQL, MongoDB, C#, PostgreSQL",7.7
DigitalFrontier,Security Analyst,"Agile, Git, Network Security, Ethical Hacking, SIEM",8
LogicLoop,UI/UX Designer,"Scrum, Agile, Git, UI/UX Design, API Development",8.5
SkyBridge,UI/UX Designer,"User Research, UI/UX Design, Adobe XD, Agile, Sketch, Scrum",7.3
FusionWorks,Mobile App Developer,"iOS SDK, Swift, Git, JIRA, Kotlin, Flutter",7.7
DataSphere,Backend Developer,"Node.js, JIRA, API Development, Python, Java, Scrum",7.7
Synergy Systems,Software Engineer,"Algorithms, System Design, Data Structures, Scrum, Go, Agile",7.1
Stellar Solutions,Software Engineer,"Algorithms, Agile, Git, Docker, Python",7.8
CodeCrafters,DevOps Engineer,"JIRA, Terraform, Google Cloud Platform, Prometheus, Jenkins, Git, Kubernetes",8
CyberGuard,Backend Developer,"API Development, Java, C#, Python, REST APIs",7.3
BioSynth,DevOps Engineer,"Docker, Scrum, Google Cloud Platform, Kubernetes",7.4
QuantumLeap,DevOps Engineer,"Agile, Ansible, JIRA, Prometheus",7.9
DataSphere,Data Analyst,"JIRA, Pandas, Git, Statistics",7.1
NanoWare,Frontend Developer,"Agile, HTML, JIRA, Vue.js, Scrum",8.2
NanoWare,Security Analyst,"SIEM, Cryptography, Agile, API Development, Network Security, Penetration Testing, Ethical Hacking, Git",8
SynthCore,Cloud Architect,"Azure, Kubernetes, Agile, System Design",8.3
NanoWare,Mobile App Developer,"Swift, Kotlin, API Development, React Native",7.1
Apex Innovations,Software Engineer,"Kubernetes, Git, System Design, JIRA, Python, Agile, Java",8
Predictive Analytics,Full-Stack Developer,"Scrum, MongoDB, CSS, React, REST APIs, Git, SQL",7.6
NextGen AI,Cloud Architect,"Azure, Terraform, AWS, Git, System Design, Google Cloud Platform",8.9
SynthCore,Full-Stack Developer,"GraphQL, Git, JavaScript, HTML, Agile",8.2
Orion Enterprises,Data Scientist,"JIRA, Data Visualization, NumPy, TensorFlow, Scrum",7.8
QuantumLeap,Machine Learning Engineer,"API Development, Git, Agile, TensorFlow, Computer Vision, Python, NLP, PyTorch",8.8
WebWeavers,Cloud Architect,"Networking, Kubernetes, AWS, Terraform",7.1
EchoSphere,Security Analyst,"Agile, SIEM, Git, Ethical Hacking, JIRA, API Development",8.4
Omega Solutions,Machine Learning Engineer,"JIRA, NLP, TensorFlow, Scrum",7.1
Zenith Tech,Software Engineer,"C++, API Development, System Design, Git",7.2
BlueShift,Security Analyst,"Agile, Cybersecurity, Cryptography, SIEM, Network Security, Ethical Hacking, Penetration Testing",8.9
Quantum Solutions,Frontend Developer,"API Development, HTML, JavaScript, Agile, Redux, Angular, CSS, JIRA",7.2
QuantumLeap,Cloud Architect,"Google Cloud Platform, Scrum, JIRA, Agile, Git, Networking, AWS",7.3
Insight Data,Mobile App Developer,"Android SDK, API Development, Flutter, JIRA, iOS SDK, React Native",8.5
HelioDynamics,Security Analyst,"API Development, Network Security, Git, Cryptography, Agile",8.5
NanoWare,Security Analyst,"Git, Agile, API Development, Network Security, Cryptography",7.4
BinaryBridge,Software Engineer,"JIRA, Git, Kubernetes, System Design, API Development, Agile",7.4
FutureProof,Security Analyst,"JIRA, Git, Cryptography, Cybersecurity, Agile",7.6
Polaris Tech,Machine Learning Engineer,"Keras, NLP, Scikit-learn, PyTorch, TensorFlow",7.8
ByteForce,Full-Stack Developer,"GraphQL, Node.js, Agile, SQL, HTML, API Development, Python",7.6
P pinnacle Corp,UI/UX Designer,"Agile, User Research, Scrum, JIRA, Adobe XD, UI/UX Design",8.8
LogicLoop,Full-Stack Developer,"Agile, GraphQL, JavaScript, HTML, JIRA, REST APIs, Scrum",8
CodeCrafters,Cloud Architect,"Git, Terraform, Scrum, Networking, AWS, JIRA",8.4
Cognitive AI,Full-Stack Developer,"REST APIs, SQL, Agile, Python",7
NanoWare,Cloud Architect,"System Design, Azure, JIRA, Agile, Networking, Security, API Development, Google Cloud Platform",8.1
Infinite Loop,Mobile App Developer,"Git, Android SDK, iOS SDK, React Native, JIRA, Scrum, Objective-C, API Development",7.3
BioSynth,Software Engineer,"JIRA, Python, Java, Agile, Data Structures, Go",8.6
ByteForce,DevOps Engineer,"CI/CD, Kubernetes, Google Cloud Platform, Prometheus, Git, Scrum",7.3
Synapse Corp,Frontend Developer,"SASS, Webpack, TypeScript, Redux, CSS, React, Vue.js",7.9
CodeCrafters,UI/UX Designer,"Agile, Sketch, API Development, User Research, JIRA, Adobe XD, Figma",7.4
BinaryBridge,UI/UX Designer,"JIRA, Adobe XD, User Research, Git, Agile, Scrum",7.6
Insight Data,Data Scientist,"SQL, Agile, API Development, Python, Statistics",8.1
Omega Solutions,Data Scientist,"Git, R, JIRA, Statistics, Machine Learning",8
Orion Enterprises,DevOps Engineer,"Agile, CI/CD, Azure, Google Cloud Platform, Docker, Prometheus, Kubernetes",7.9
P pinnacle Corp,Data Analyst,"Git, Python, Power BI, Agile, Data Visualization",7.6
LogicLoop,Software Engineer,"Agile, Python, Data Structures, Kubernetes",7
WebWeavers,Backend Developer,"PostgreSQL, GraphQL, MongoDB, Java, Git",8.1
QuantumLeap,DevOps Engineer,"API Development, Ansible, Kubernetes, Prometheus",8.7
AeroVerse,Security Analyst,"Penetration Testing, JIRA, Cryptography, Git, Agile, Scrum, Ethical Hacking",8.9
Stellar Solutions,UI/UX Designer,"Agile, Git, JIRA, Adobe XD",8.5
DigitalFrontier,Data Analyst,"API Development, Tableau, SQL, JIRA, Statistics",8.7
Predictive Analytics,Data Analyst,"Python, Statistics, Agile, SQL, Power BI, Tableau, Git",8.3
DigitalFrontier,Cloud Architect,"System Design, AWS, Scrum, Git",8.8
Visionary AI,DevOps Engineer,"Git, CI/CD, API Development, Kubernetes, Prometheus",7.5
Vertex Dynamics,Security Analyst,"Scrum, Penetration Testing, Git, Ethical Hacking, Cybersecurity",7.3
LogicLoop,Frontend Developer,"JavaScript, Git, HTML, Angular, React",8.4
NetSphere,Backend Developer,"MongoDB, Python, Node.js, REST APIs, SQL",7
