company,role,skills,cgpa_required
Synapse Corp,UI/UX Designer,"Git, JIRA, UI/UX Design, Sketch, API Development",8.9
EchoSphere,Data Scientist,"Git, PyTorch, Agile, Scrum, Deep Learning, Data Visualization, NumPy, Python",8
Momentum Labs,Cloud Architect,"Agile, API Development, Azure, Google Cloud Platform, Networking",7.1
PixelPerfect,DevOps Engineer,"Scrum, Terraform, Prometheus, API Development, Kubernetes, JIRA, CI/CD, Jenkins",7.7
P pinnacle Corp,Frontend Developer,"JIRA, CSS, Scrum, Angular, Redux",8.1
Vertex Dynamics,DevOps Engineer,"Terraform, Scrum, JIRA, Azure, Agile, Docker, Prometheus, Google Cloud Platform",7.8
Apex Innovations,Data Scientist,"Git, SQL, Scikit-learn, API Development, Machine Learning, PyTorch, Agile, Scrum",8
Keystone Digital,Software Engineer,"C++, Data Structures, Kubernetes, Go, Git, Algorithms, Python",8.1
Synergy Systems,Backend Developer,"C#, PostgreSQL, Kubernetes, Node.js, API Development, MongoDB",8.9
BioSynth,Machine Learning Engineer,"JIRA, Scikit-learn, Agile, TensorFlow",8.2
QuantumLeap,Data Scientist,"PyTorch, JIRA, Agile, NumPy, API Development",8.1
BlueShift,UI/UX Designer,"Scrum, Adobe XD, Agile, JIRA",7.4
BinaryBridge,Software Engineer,"Data Structures, Java, Git, Docker, C++, Go, Agile",7.4
Stellar Solutions,Data Scientist,"Agile, Scrum, SQL, Statistics, PyTorch",8.1
InfraCloud,UI/UX Designer,"Git, Figma, JIRA, Scrum, API Development, Sketch, Agile",7.7
EchoSphere,Security Analyst,"Git, Agile, JIRA, Cybersecurity, API Development, Scrum, Penetration Testing",9
P pinnacle Corp,Mobile App Developer,"Flutter, Objective-C, Android SDK, Kotlin",7.2
Orion Enterprises,Software Engineer,"API Development, Python, Docker, JIRA, Scrum, Kubernetes, System Design, C++",8.8
SkyBridge,Full-Stack Developer,"SQL, API Development, Agile, CSS, Scrum, Git, HTML, GraphQL",8
Zenith Tech,Mobile App Developer,"Flutter, Scrum, React Native, Kotlin, Objective-C, Git, Swift, JIRA",7.2
Momentum Labs,Cloud Architect,"Terraform, Agile, Security, Scrum, Git, Azure",8.8
BioLogics,Software Engineer,"Git, Kubernetes, System Design, Docker, Algorithms, Python, API Development, Java",8.2
Quantum Solutions,DevOps Engineer,"Kubernetes, Terraform, Prometheus, Scrum",7.4
NeuralNet Systems,Data Scientist,"SQL, NumPy, R, Scikit-learn, Pandas, Statistics, Data Visualization",8.3
RedShift,Machine Learning Engineer,"Python, Scrum, NumPy, NLP, JIRA, Keras, API Development",7.7
NextGen AI,Security Analyst,"Cybersecurity, Git, Penetration Testing, Network Security, API Development",7.6
Predictive Analytics,DevOps Engineer,"Kubernetes, Docker, Git, AWS, Jenkins, Scrum, Prometheus, Google Cloud Platform",7.7
TerraForm Inc.,Full-Stack Developer,"JavaScript, REST APIs, Node.js, API Development, React, GraphQL, JIRA",7.2
NanoWare,UI/UX Designer,"Figma, Git, API Development, Scrum, Sketch, Agile, Wireframing",8.8
Insight Data,Data Analyst,"JIRA, Pandas, Scrum, Git, Statistics, Agile, API Development",8.7
EchoSphere,DevOps Engineer,"Prometheus, Docker, Agile, Google Cloud Platform, JIRA",8.8
NovaPulse,Mobile App Developer,"Agile, API Development, Kotlin, Git, Swift",7.6
Keystone Digital,Mobile App Developer,"Scrum, Android SDK, Kotlin, Agile, Objective-C",7.6
Orion Enterprises,Cloud Architect,"Azure, Terraform, System Design, Kubernetes, Git",8.4
BlueShift,Security Analyst,"Penetration Testing, API Development, Scrum, Git",8.4
Momentum Labs,UI/UX Designer,"Figma, Agile, Adobe XD, Wireframing",8.6
Insight Data,DevOps Engineer,"Git, Jenkins, Terraform, Prometheus, Docker",8
Cognitive AI,Security Analyst,"Git, Cybersecurity, Cryptography, Ethical Hacking, Network Security, SIEM, Agile, Penetration Testing",7.1
BinaryBridge,Machine Learning Engineer,"Keras, PyTorch, Python, Scrum",8.4
DigitalFrontier,Frontend Developer,"JavaScript, Webpack, Scrum, Next.js, SASS, Agile, CSS, API Development",7.7
Quantum Solutions,Mobile App Developer,"Android SDK, API Development, JIRA, Kotlin, Agile, Objective-C, React Native",8.1
LogicLoop,Machine Learning Engineer,"Scikit-learn, PyTorch, API Development, NumPy, NLP, Agile",8.1
Keystone Digital,Machine Learning Engineer,"Keras, Agile, JIRA, PyTorch, NumPy",7.2
FutureProof,Data Analyst,"Pandas, Power BI, Tableau, Data Visualization, Python, API Development",8.6
Momentum Labs,Backend Developer,"Agile, Git, Node.js, NoSQL, Ruby",7.9
BioSynth,Frontend Developer,"Agile, JIRA, Angular, HTML, Next.js, Git, API Development",8.7
ByteForce,DevOps Engineer,"Azure, Ansible, Kubernetes, Prometheus, Docker, Jenkins, Agile",8.5
Visionary AI,Software Engineer,"Data Structures, C++, Scrum, JIRA, Agile",7.8
TerraForm Inc.,Software Engineer,"Kubernetes, Scrum, Docker, Data Structures, C++, Go, Agile, System Design",8.2
BioLogics,Software Engineer,"Go, Kubernetes, Scrum, System Design, Algorithms, Agile",7.9
NovaPulse,Backend Developer,"Kubernetes, Scrum, MongoDB, GraphQL, SQL, C#, JIRA, API Development",8.4
Vertex Dynamics,Security Analyst,"Agile, Cryptography, Network Security, Scrum",7.2
QuantumLeap,Cloud Architect,"Kubernetes, Terraform, Google Cloud Platform, Security, Agile, AWS, Azure, Networking",7.1
Synergy Systems,Full-Stack Developer,"JIRA, Git, React, Python, SQL, API Development, Scrum, HTML",8.1
SkyBridge,DevOps Engineer,"Google Cloud Platform, AWS, Azure, Agile, Ansible, JIRA, Terraform",7
Vertex Dynamics,UI/UX Designer,"JIRA, Wireframing, User Research, Figma, API Development, UI/UX Design, Agile, Adobe XD",8.7
WebWeavers,Data Analyst,"Git, Agile, Excel, Power BI, Pandas, Data Visualization, JIRA",8.8
TerraForm Inc.,Data Analyst,"Data Visualization, Statistics, SQL, Python, Scrum, Tableau, Power BI",7.7
NetSphere,UI/UX Designer,"API Development, UI/UX Design, Sketch, Scrum, JIRA",7
NovaPulse,Mobile App Developer,"React Native, Android SDK, Swift, JIRA",8.7
BioLogics,Data Scientist,"Git, JIRA, Machine Learning, Scrum, Deep Learning, Scikit-learn, Data Visualization",7.2
LogicLoop,Cloud Architect,"Security, System Design, Networking, Git, Azure, Terraform",8.4
BlueShift,Data Scientist,"JIRA, PyTorch, Deep Learning, SQL, Statistics",8.5
NovaPulse,Frontend Developer,"Scrum, Webpack, Vue.js, Agile, JIRA, TypeScript, Angular",7.7
Predictive Analytics,Backend Developer,"Go, Kubernetes, Git, NoSQL, Python, SQL, Node.js, JIRA",8
TerraForm Inc.,Backend Developer,"MongoDB, GraphQL, PostgreSQL, Kubernetes, Ruby",7.8
Omega Solutions,Backend Developer,"JIRA, Java, Node.js, API Development",7.7
WebWeavers,Cloud Architect,"Scrum, Git, System Design, AWS, Kubernetes, Security, Terraform",8.5
EchoSphere,Frontend Developer,"Scrum, React, API Development, Agile, Vue.js, Next.js, Redux, Webpack",8.8
DataSphere,Security Analyst,"API Development, Git, Network Security, Penetration Testing, Cybersecurity",7
TerraForm Inc.,Data Analyst,"JIRA, Git, Tableau, API Development, Pandas",8.2
ByteForce,Data Scientist,"Python, NumPy, Machine Learning, Agile, TensorFlow, Data Visualization, SQL",8.4
Quantum Solutions,Machine Learning Engineer,"JIRA, Agile, Scikit-learn, Pandas, Computer Vision, Scrum",8.7
SynthCore,Mobile App Developer,"Flutter, iOS SDK, Scrum, Objective-C, JIRA, Android SDK",7.5
EchoSphere,Machine Learning Engineer,"Keras, JIRA, Scrum, NLP, Computer Vision",7.7
Omega Solutions,Security Analyst,"Git, Cybersecurity, JIRA, API Development, Ethical Hacking",8.9
Stellar Solutions,Frontend Developer,"SASS, Webpack, Agile, JavaScript",8.5
Alpha Systems,Software Engineer,"System Design, Algorithms, Go, C++, Data Structures, JIRA, Scrum",7.5
NanoWare,Backend Developer,"Git, Node.js, C#, Go, Docker",7.4
FutureProof,Machine Learning Engineer,"API Development, NLP, NumPy, TensorFlow, Agile, Pandas, Git",9
CyberGuard,Cloud Architect,"Security, Azure, Terraform, Scrum, JIRA, System Design",8.9
PixelPerfect,Backend Developer,"MongoDB, JIRA, GraphQL, REST APIs",8.8
HelioDynamics,Data Scientist,"SQL, Statistics, Scikit-learn, Agile, Deep Learning, R, NumPy",7.3
NanoWare,Data Scientist,"SQL, Deep Learning, Git, Scrum, API Development, Agile, NumPy, R",8.5
Infinite Loop,UI/UX Designer,"Sketch, Git, Adobe XD, User Research, Scrum, Wireframing, JIRA, Figma",7.7
Orion Enterprises,Machine Learning Engineer,"API Development, Agile, Computer Vision, Git, Scikit-learn",8
Vertex Dynamics,Full-Stack Developer,"Scrum, Node.js, MongoDB, Git, REST APIs, CSS",8
EchoSphere,Mobile App Developer,"Flutter, iOS SDK, Scrum, React Native, API Development, Git, Swift, Kotlin",7.9
PixelPerfect,Data Scientist,"Deep Learning, Git, TensorFlow, Agile, NumPy",8.5
AquaGen,DevOps Engineer,"API Development, Docker, CI/CD, Terraform, Ansible",8
BlueShift,Full-Stack Developer,"Python, HTML, GraphQL, Scrum, React, Git, Node.js",8.7
Cognitive AI,Data Scientist,"R, Git, SQL, Machine Learning, Data Visualization",8.4
WebWeavers,Data Analyst,"Scrum, SQL, Pandas, API Development",7.8
CloudNine,Frontend Developer,"Webpack, Vue.js, TypeScript, React",8
ByteForce,Machine Learning Engineer,"Agile, Python, TensorFlow, API Development, Scikit-learn, NLP, Scrum, Git",8.3
Zenith Tech,Data Scientist,"Deep Learning, R, NumPy, API Development, Data Visualization, Scikit-learn",7.3
BioLogics,Backend Developer,"Python, Scrum, SQL, C#",8.2
CodeCrafters,UI/UX Designer,"Figma, Wireframing, UI/UX Design, Agile, API Development",7.5
Quantum Solutions,DevOps Engineer,"Ansible, CI/CD, Azure, Jenkins",8
Polaris Tech,Machine Learning Engineer,"Python, PyTorch, API Development, Git, Pandas, NumPy, Scikit-learn, Scrum",8.8
NovaPulse,Data Scientist,"Agile, Pandas, Git, Statistics, Machine Learning",7.4
Omega Solutions,Frontend Developer,"Agile, API Development, HTML, Angular, Scrum, Redux, Webpack, Vue.js",7.4
InfraCloud,Backend Developer,"Go, Node.js, Git, JIRA, SQL, REST APIs",7.7
NeuralNet Systems,Security Analyst,"Penetration Testing, Git, Ethical Hacking, Cybersecurity, Agile",8.8
Stellar Solutions,Software Engineer,"API Development, Docker, Go, Java",7.3
CodeCrafters,Data Analyst,"API Development, Agile, Data Visualization, Excel, Git, Tableau",7.2
Visionary AI,Security Analyst,"Penetration Testing, SIEM, Cybersecurity, JIRA, Ethical Hacking, API Development, Cryptography, Network Security",7.5
QuantumLeap,Machine Learning Engineer,"API Development, JIRA, NumPy, Scrum",8.8
LogicLoop,Data Analyst,"API Development, JIRA, Git, Excel, Data Visualization, Statistics, Python",7.9
Predictive Analytics,UI/UX Designer,"Agile, User Research, Sketch, UI/UX Design",8.7
NeuralNet Systems,Backend Developer,"NoSQL, Kubernetes, MongoDB, SQL, Docker, Go, GraphQL, Java",7.7
NextGen AI,Machine Learning Engineer,"NLP, TensorFlow, Git, API Development, Scrum, Python, Scikit-learn",7
P pinnacle Corp,Cloud Architect,"JIRA, Azure, Agile, System Design, Security, AWS, Networking",8
PixelPerfect,Frontend Developer,"React, Vue.js, SASS, Agile",7.4
EchoSphere,Data Scientist,"API Development, Git, Machine Learning, Statistics",7.2
AquaGen,Data Analyst,"SQL, Git, Excel, Agile, Statistics",7.4
Vertex Dynamics,Cloud Architect,"Scrum, Azure, AWS, Security",7.9
QuantumLeap,Machine Learning Engineer,"NumPy, Keras, PyTorch, Pandas, Agile, API Development, TensorFlow, Git",7.3
DigitalFrontier,Software Engineer,"API Development, Java, Git, Data Structures, System Design, Agile, JIRA, Go",8
BioLogics,Cloud Architect,"Scrum, Security, Agile, Terraform",7
Visionary AI,Frontend Developer,"Scrum, Webpack, JavaScript, Angular, React",7.3
Keystone Digital,Frontend Developer,"JIRA, Next.js, Git, CSS, Redux, API Development, Vue.js",7.5
InfraCloud,Security Analyst,"Cryptography, API Development, Agile, Ethical Hacking, Scrum, Cybersecurity, JIRA, Git",7
CyberGuard,Data Analyst,"Data Visualization, Power BI, SQL, Tableau",7.3
ByteForce,Frontend Developer,"React, Vue.js, HTML, Git",7.6
CloudNine,Data Analyst,"JIRA, Python, API Development, Tableau, Scrum, Git, SQL, Agile",7
Infinite Loop,Full-Stack Developer,"JavaScript, JIRA, Scrum, Git, GraphQL, Agile, CSS",7.4
Keystone Digital,Full-Stack Developer,"React, Node.js, Git, JIRA, GraphQL, HTML, JavaScript",8
TerraForm Inc.,Software Engineer,"API Development, Scrum, C++, Git",7.2
Cognitive AI,Machine Learning Engineer,"Scikit-learn, PyTorch, JIRA, TensorFlow",8.6
CyberGuard,Data Scientist,"PyTorch, Data Visualization, JIRA, SQL",8.4
LogicLoop,Software Engineer,"Python, System Design, Agile, C++",9
FutureProof,UI/UX Designer,"Git, API Development, JIRA, Sketch, User Research, Figma, UI/UX Design",7.8
SynthCore,Machine Learning Engineer,"TensorFlow, PyTorch, API Development, Git, Keras, NLP, Computer Vision, Agile",8.6
TerraForm Inc.,Security Analyst,"JIRA, Cybersecurity, API Development, Network Security, Penetration Testing",7.7
RedShift,Software Engineer,"C++, System Design, Kubernetes, Git, Algorithms, Docker, Agile",7.2
DigitalFrontier,Data Analyst,"Tableau, JIRA, Scrum, Excel",8
AquaGen,DevOps Engineer,"Jenkins, Kubernetes, Docker, Git",7.1
LogicLoop,UI/UX Designer,"Sketch, API Development, Wireframing, Scrum, User Research, Adobe XD",8.5
P pinnacle Corp,Security Analyst,"Penetration Testing, Network Security, Agile, Git",8.2
Zenith Tech,DevOps Engineer,"Jenkins, Ansible, AWS, Terraform, Docker, JIRA, Scrum",8.4
AeroVerse,DevOps Engineer,"Scrum, Terraform, CI/CD, Agile, Azure, Jenkins, Google Cloud Platform, JIRA",7.7
FusionWorks,Backend Developer,"API Development, PostgreSQL, SQL, MongoDB",8
Keystone Digital,Full-Stack Developer,"MongoDB, Python, JavaScript, Agile, React, GraphQL, SQL, API Development",8.7
NetSphere,Backend Developer,"Scrum, PostgreSQL, Git, JIRA",7.8
Quantum Solutions,Cloud Architect,"Agile, Google Cloud Platform, Terraform, Security, JIRA",8.5
Vertex Dynamics,UI/UX Designer,"Git, Sketch, JIRA, Agile, Adobe XD",7.9
Vertex Dynamics,Machine Learning Engineer,"API Development, Scrum, Pandas, Python, NumPy",8.2
NextGen AI,Frontend Developer,"JIRA, HTML, Webpack, SASS, Scrum, API Development, Next.js, Agile",8.2
BioLogics,Security Analyst,"Scrum, Penetration Testing, API Development, SIEM, Cybersecurity, Ethical Hacking, Network Security, Git",8.9
BlueShift,UI/UX Designer,"Adobe XD, Scrum, Wireframing, User Research, Agile, API Development, Sketch",8.1
HelioDynamics,Mobile App Developer,"JIRA, React Native, Git, Kotlin, Agile, Swift, Android SDK",7.5
SynthCore,DevOps Engineer,"AWS, Jenkins, API Development, Agile, Azure, Prometheus, Kubernetes, Google Cloud Platform",8.9
Insight Data,Cloud Architect,"System Design, API Development, Kubernetes, Agile, AWS, Google Cloud Platform, Terraform, Networking",7.3
Alpha Systems,Cloud Architect,"API Development, Terraform, Git, JIRA, Azure, Agile, AWS, System Design",7.7
FusionWorks,Data Scientist,"Python, Agile, Git, Deep Learning, Statistics",7.1
Apex Innovations,Mobile App Developer,"iOS SDK, Git, Agile, Objective-C, Swift, Scrum",7
ByteForce,Frontend Developer,"CSS, Scrum, Angular, Redux",8.6
AeroVerse,Machine Learning Engineer,"Computer Vision, NLP, Scrum, Agile, Git, Pandas",8.6
FutureProof,Data Analyst,"Git, Statistics, Scrum, Pandas, Excel",7.9
P pinnacle Corp,Backend Developer,"GraphQL, NoSQL, Java, Kubernetes",8.4
Orion Enterprises,Backend Developer,"Docker, Node.js, GraphQL, Scrum, C#, Git, API Development, MongoDB",8
AquaGen,UI/UX Designer,"JIRA, API Development, Scrum, Agile, Sketch",8.8
Visionary AI,Security Analyst,"Scrum, API Development, Cybersecurity, Penetration Testing",7.2
EchoSphere,DevOps Engineer,"Jenkins, Kubernetes, Agile, Docker, API Development, Ansible, Terraform, Azure",7.8
Cognitive AI,Security Analyst,"Penetration Testing, Git, API Development, Cryptography, Ethical Hacking, SIEM, Scrum",8.2
FusionWorks,DevOps Engineer,"Jenkins, Google Cloud Platform, Terraform, Azure",8
Visionary AI,Data Analyst,"SQL, Git, JIRA, Data Visualization",7.1
NextGen AI,Security Analyst,"Cryptography, JIRA, Ethical Hacking, Cybersecurity, API Development, Agile, SIEM",7.9
Visionary AI,Machine Learning Engineer,"JIRA, Git, NumPy, Python, API Development, Computer Vision",8
NovaPulse,Frontend Developer,"Agile, Git, Scrum, CSS, SASS, API Development, Next.js, React",8.6
Insight Data,Software Engineer,"Algorithms, JIRA, Git, Go",8.6
DataSphere,UI/UX Designer,"JIRA, API Development, Figma, User Research, Adobe XD, Scrum, Sketch, Agile",8
Apex Innovations,Security Analyst,"Agile, Scrum, Git, SIEM",7.8
Momentum Labs,Full-Stack Developer,"CSS, MongoDB, JavaScript, SQL",8.9
BinaryBridge,Frontend Developer,"SASS, Angular, JavaScript, HTML, Git, Webpack, API Development, TypeScript",8.5
P pinnacle Corp,Backend Developer,"SQL, Scrum, Python, REST APIs, Agile, NoSQL",7.4
Orion Enterprises,Cloud Architect,"System Design, Kubernetes, Scrum, Google Cloud Platform, JIRA",8.3
Keystone Digital,Backend Developer,"C#, Kubernetes, SQL, MongoDB",7.9
LogicLoop,Data Scientist,"R, Data Visualization, Git, Scikit-learn, Deep Learning",7.4
AeroVerse,Frontend Developer,"Git, Angular, CSS, HTML, TypeScript, Redux",7.4
FutureProof,Software Engineer,"API Development, Algorithms, Agile, Scrum, Java, Data Structures, C++",8
BioSynth,Full-Stack Developer,"React, CSS, SQL, Node.js, MongoDB",9
Synapse Corp,DevOps Engineer,"CI/CD, Terraform, Kubernetes, Jenkins, API Development",7.3
Infinite Loop,Security Analyst,"SIEM, Network Security, API Development, JIRA, Git",8.5
LogicLoop,Data Scientist,"Pandas, SQL, PyTorch, API Development, Machine Learning, Git, Agile, R",7.7
Orion Enterprises,DevOps Engineer,"Git, JIRA, Docker, Ansible",8.2
BinaryBridge,Security Analyst,"API Development, Cybersecurity, JIRA, Ethical Hacking, Cryptography, Penetration Testing",8.7
BioSynth,Full-Stack Developer,"JIRA, Agile, Git, React",7.1
Momentum Labs,Cloud Architect,"Security, Git, Azure, Networking, Terraform, System Design, AWS, JIRA",8.5
RedShift,Security Analyst,"Network Security, JIRA, Ethical Hacking, API Development, Agile",7
Infinite Loop,Mobile App Developer,"Android SDK, Swift, React Native, Agile, iOS SDK, Git, Kotlin",8.2
HelioDynamics,DevOps Engineer,"CI/CD, Agile, AWS, Scrum, Prometheus, Ansible, JIRA",7.9
QuantumLeap,Software Engineer,"Kubernetes, Git, API Development, Docker",8.2
Insight Data,Mobile App Developer,"Scrum, Android SDK, Git, JIRA, Swift, React Native",9
Momentum Labs,DevOps Engineer,"Ansible, JIRA, Prometheus, Scrum, Jenkins, Docker, Kubernetes, Terraform",8.2
Predictive Analytics,Mobile App Developer,"Android SDK, Kotlin, Agile, Flutter",7.4
CodeCrafters,Data Scientist,"TensorFlow, Agile, Statistics, Scrum, Data Visualization",8.4
SynthCore,Cloud Architect,"Terraform, System Design, Kubernetes, API Development, AWS, Security, Networking, Scrum",7
Zenith Tech,Machine Learning Engineer,"Git, JIRA, NumPy, Computer Vision, Python",7.9
AeroVerse,Cloud Architect,"Scrum, System Design, AWS, Agile, Networking, JIRA, Terraform",7.7
QuantumLeap,Data Scientist,"TensorFlow, Scikit-learn, Machine Learning, Statistics, Data Visualization, Deep Learning, Scrum",7.4
RedShift,Frontend Developer,"JavaScript, Next.js, API Development, Scrum, HTML, Webpack, React",8.9
SkyBridge,Data Scientist,"R, Deep Learning, Data Visualization, Scrum, Statistics, Git, API Development",8
Insight Data,Cloud Architect,"Kubernetes, System Design, Scrum, Git, API Development",8.2
BioLogics,Mobile App Developer,"Scrum, Objective-C, Flutter, JIRA, iOS SDK, API Development, Android SDK",8.3
Omega Solutions,Data Scientist,"Data Visualization, Agile, Deep Learning, TensorFlow, PyTorch, Pandas",7.1
Apex Innovations,Security Analyst,"JIRA, Git, Cybersecurity, Agile",7.7
CodeCrafters,Machine Learning Engineer,"JIRA, Python, Agile, Scikit-learn, Scrum, Pandas, API Development",8.2
CloudNine,Data Analyst,"SQL, Python, Statistics, Git, Data Visualization, API Development, Excel",8
Stellar Solutions,UI/UX Designer,"User Research, Scrum, Sketch, JIRA, UI/UX Design, Wireframing, Figma",7.8
NanoWare,Backend Developer,"MongoDB, Docker, API Development, SQL, Ruby, Scrum",7.9
ByteForce,Data Analyst,"Python, Statistics, Agile, Git, Excel",8.4
Polaris Tech,Machine Learning Engineer,"Keras, Git, Scikit-learn, PyTorch, Agile",7.4
CloudNine,Backend Developer,"Agile, MongoDB, Go, Kubernetes, GraphQL, Ruby",8.9
WebWeavers,UI/UX Designer,"Figma, Wireframing, Scrum, User Research, Sketch, Agile",8.2
RedShift,Software Engineer,"Data Structures, Docker, Algorithms, Agile, Python, Go",8.6
InnovateTech,Machine Learning Engineer,"PyTorch, Scikit-learn, Pandas, Git, JIRA, Keras, Scrum, Python",8.5
TerraForm Inc.,Backend Developer,"REST APIs, Ruby, MongoDB, Docker, Node.js, PostgreSQL",8.9
Visionary AI,DevOps Engineer,"CI/CD, JIRA, Prometheus, Google Cloud Platform",8.2
Stellar Solutions,UI/UX Designer,"UI/UX Design, Scrum, Agile, Adobe XD, Sketch, Git",7.7
Omega Solutions,Machine Learning Engineer,"Scrum, Pandas, Python, Scikit-learn, Agile, Keras, Git",8.3
QuantumLeap,UI/UX Designer,"Adobe XD, Scrum, Figma, UI/UX Design, Sketch, JIRA, API Development",8.2
Polaris Tech,Frontend Developer,"Git, JIRA, Webpack, Angular, CSS, Vue.js, API Development",7.3
Alpha Systems,Full-Stack Developer,"CSS, JavaScript, Node.js, HTML, JIRA",8.9
Cognitive AI,Full-Stack Developer,"JavaScript, Git, GraphQL, SQL, MongoDB, CSS",7.1
BioLogics,Data Analyst,"Statistics, Power BI, Data Visualization, Agile",7.2
BinaryBridge,Data Scientist,"PyTorch, R, JIRA, Scikit-learn, API Development, Agile, Deep Learning",7.2
EchoSphere,Mobile App Developer,"Android SDK, Objective-C, iOS SDK, Swift, Agile",7.2
BinaryBridge,Data Analyst,"SQL, API Development, Git, Agile",7.3
ByteForce,Data Analyst,"SQL, Python, Excel, Data Visualization, Statistics, Tableau, Scrum, JIRA",8.1
Vertex Dynamics,Full-Stack Developer,"Python, JIRA, Agile, GraphQL, API Development, HTML, MongoDB, REST APIs",8.3
Stellar Solutions,Full-Stack Developer,"GraphQL, Node.js, API Development, REST APIs, MongoDB, HTML, Agile, Scrum",7.6
DigitalFrontier,DevOps Engineer,"Kubernetes, Agile, Jenkins, Azure, JIRA",7.2
Quantum Solutions,Machine Learning Engineer,"Keras, NLP, PyTorch, Computer Vision, Python, API Development, NumPy, Pandas",8.9
Quantum Solutions,Data Analyst,"Python, Power BI, Agile, API Development, Tableau",7.7
Orion Enterprises,Backend Developer,"Python, Java, NoSQL, Kubernetes, Go, Docker, JIRA, GraphQL",8.5
Predictive Analytics,Software Engineer,"Git, C++, Kubernetes, Agile",8.7
NextGen AI,UI/UX Designer,"API Development, Figma, UI/UX Design, JIRA",8.7
Predictive Analytics,Backend Developer,"PostgreSQL, Scrum, Node.js, NoSQL, Java, JIRA",7.1
Omega Solutions,UI/UX Designer,"Git, Scrum, User Research, Agile, UI/UX Design",7.6
Omega Solutions,UI/UX Designer,"API Development, Scrum, Figma, User Research, Agile, Sketch, Wireframing, UI/UX Design",7.6
QuantumLeap,Data Analyst,"API Development, Pandas, Power BI, Python",7.7
NanoWare,Data Analyst,"Scrum, Excel, API Development, Python, Data Visualization",7.7
NextGen AI,UI/UX Designer,"Agile, Git, Scrum, UI/UX Design",7.2
Synergy Systems,Mobile App Developer,"API Development, Agile, Android SDK, Swift, iOS SDK, Objective-C",8.5
SynthCore,Data Scientist,"NumPy, PyTorch, SQL, Scrum",7.5
Cognitive AI,Software Engineer,"Kubernetes, JIRA, Data Structures, Docker",7.5
Synapse Corp,Backend Developer,"Java, GraphQL, NoSQL, SQL, Python, Scrum, JIRA, Agile",8.5
BlueShift,Machine Learning Engineer,"TensorFlow, Computer Vision, Git, Scikit-learn, Python, Agile, PyTorch",7.2
Stellar Solutions,Mobile App Developer,"Kotlin, API Development, Scrum, Android SDK, JIRA",8.3
CyberGuard,UI/UX Designer,"Wireframing, User Research, UI/UX Design, Figma, Scrum, Git",7.6
